code;name_old;name_new;row_old;row_new;price_old;price_new;delta;pct;unit_old;unit_new;weight_old;weight_new;price_ton_old;price_ton_new;name_changed;unit_changed;weight_changed
106779;Штакетник 20х50х20 (ШТ 20х50х20) 0,5 декор;Штакетник 20х50х20 (ШТ 20х50х20) 0,5 декор;2159;269;100.0;106.0;6.0;0.06;п.м;п.м;0.415;0.415;240964.0;255422.0;False;False;False
18852;Лист плоский нест обрезь 0,7 (Оцинк.);Лист плоский нест обрезь 0,7 (Оцинк.);563;1421;589.0;624.0;35.0;0.059422750424448216;м2;м2;5.018;5.018;117377.0;124352.0;False;False;False
63353;Лист плоский 0,7 (Оцинк.);Лист плоский 0,7 (Оцинк.);543;1412;589.0;624.0;35.0;0.059422750424448216;м2;м2;5.018;5.018;117377.0;124352.0;False;False;False
70395;Лист плоский-штрипс 0,7 (Оцинк.);Лист плоский-штрипс 0,7 (Оцинк.);572;1426;589.0;624.0;35.0;0.059422750424448216;м2;м2;5.018;5.018;117377.0;124352.0;False;False;False
1587;Ендова верхняя (ЕВ) 2м (Оцинк.);Ендова верхняя (ЕВ) 2м (Оцинк.);108;1180;491.0;520.0;29.0;0.059063136456211814;шт;шт;2.17;2.17;226267.0;239631.0;False;False;False
1618;Конек плоский 150 (КП150) 2м (Оцинк.);Конек плоский 150 (КП150) 2м (Оцинк.);342;1184;491.0;520.0;29.0;0.059063136456211814;шт;шт;2.17;2.17;226267.0;239631.0;False;False;False
60143;Профиль шляпный 40 (ПШ 40) 0,7 (Оцинк.);Профиль шляпный 40 (ПШ 40) 0,7 (Оцинк.);1365;497;120.0;127.0;7.0;0.058333333333333334;п.м;п.м;0.884;0.884;135747.0;143665.0;False;False;False
2649;Планка начальная КФ-2 (ПНКФ2) 0,7х3м;Планка начальная КФ-2 (ПНКФ2) 0,7х3м;1112;1309;655.0;693.0;38.0;0.05801526717557252;шт;шт;2.035;2.035;321867.0;340541.0;False;False;False
1661;Уголок внутр. 85 (УВс85) 3м (Оцинк.);Уголок внутр. 85 (УВс85) 3м (Оцинк.);2075;1281;467.0;494.0;27.0;0.057815845824411134;шт;шт;2.031;2.031;229936.0;243230.0;False;False;False
1662;Уголок наруж. 85 (УНс85) 3м (Оцинк.);Уголок наруж. 85 (УНс85) 3м (Оцинк.);2092;1283;467.0;494.0;27.0;0.057815845824411134;шт;шт;2.031;2.031;229936.0;243230.0;False;False;False
58414;ПZ 105 без перфор. 1,2 П350 (Оцинк.);ПZ 105 без перфор. 1,2 П350 (Оцинк.);764;650;262.0;277.0;15.0;0.05725190839694656;п.м;п.м;1.9342;1.9342;135457.0;143212.0;False;False;False
